#{"t_start": 1756221011.257489, "env_id": "None"}
r,l,t
0.429128,1,0.373267
0.4,1,0.62599
0.429128,1,0.84357
0.442741,1,1.05949
0.2,1,1.290386
0.424,1,1.524559
0.429128,1,1.800055
0.429128,1,2.027722
0.2,1,2.275104
0.424,1,2.525328
0.442741,1,2.774819
0.429128,1,3.002389
0.442741,1,3.226399
0.429128,1,3.456372
0.442741,1,3.679037
0.429128,1,3.911428
0.2,1,4.137738
0.442741,1,4.391026
0.442741,1,4.631335
0.429128,1,4.868815
0.4,1,5.13154
0.4,1,5.358554
0.429128,1,5.594803
0.2,1,5.816855
0.429128,1,6.066516
0.429128,1,6.324253
0.429128,1,6.563228
0.442741,1,6.791864
0.442741,1,7.035714
0.442741,1,7.272042
0.424,1,7.559144
0.429128,1,7.794741
0.424,1,8.055317
0.429128,1,8.301698
0.4,1,8.535823
0.429128,1,8.777129
0.442741,1,9.023324
0.429128,1,9.263706
0.424,1,9.500163
0.4,1,9.747632
0.2,1,9.986943
0.429128,1,10.232417
0.429128,1,10.479217
0.429128,1,10.740104
0.424,1,10.980319
0.4,1,11.211765
0.442741,1,11.447777
0.2,1,11.681503
0.429128,1,11.907843
0.4,1,12.139775
0.424,1,12.368158
0.442741,1,12.640076
0.2,1,12.873455
0.429128,1,13.115878
0.424,1,13.362028
0.424,1,13.601912
0.429128,1,13.834567
0.424,1,14.078017
0.442741,1,14.314621
0.424,1,14.550847
0.424,1,14.789552
0.442741,1,15.028394
0.429128,1,15.271037
0.429128,1,15.518644
0.429128,1,15.768574
0.442741,1,16.074104
0.442741,1,16.314768
0.429128,1,16.562058
0.429128,1,16.811177
0.429128,1,17.041217
0.429128,1,17.287135
0.424,1,17.518183
0.429128,1,17.767316
0.4,1,17.997669
0.442741,1,18.227644
0.424,1,18.454149
0.429128,1,18.695351
0.442741,1,18.928022
0.442741,1,19.160823
0.424,1,19.384248
0.424,1,19.669622
0.429128,1,19.89375
0.442741,1,20.122186
0.442741,1,20.36452
0.424,1,20.595613
0.429128,1,20.821218
0.4,1,21.042735
0.442741,1,21.272526
0.442741,1,21.517329
0.442741,1,21.759537
0.442741,1,21.984754
0.442741,1,22.215168
0.4,1,22.454582
0.442741,1,22.678908
0.429128,1,22.915704
0.424,1,23.14984
0.4,1,23.395381
0.424,1,23.632085
0.442741,1,23.861835
0.429128,1,24.09118
0.424,1,24.31957
0.442741,1,24.549993
0.2,1,24.787326
0.442741,1,25.020701
0.429128,1,25.261494
0.424,1,25.492324
0.442741,1,25.721391
0.442741,1,25.952214
0.442741,1,26.181473
0.429128,1,26.416877
0.442741,1,26.647418
0.442741,1,26.883128
0.442741,1,27.133827
0.429128,1,27.388361
0.442741,1,27.624741
0.442741,1,27.863156
0.424,1,28.110276
0.442741,1,28.346163
0.442741,1,28.575143
0.442741,1,28.801898
0.442741,1,29.036224
0.429128,1,29.279561
0.442741,1,29.506057
0.442741,1,29.741916
0.442741,1,29.974053
0.2,1,30.204225
0.442741,1,30.429435
0.442741,1,30.660805
0.442741,1,30.894172
0.442741,1,31.147865
0.429128,1,31.383446
0.442741,1,31.608197
0.442741,1,31.839612
0.2,1,32.066077
0.4,1,32.286701
0.424,1,32.511244
0.429128,1,32.736343
0.429128,1,32.961465
0.429128,1,33.201712
0.429128,1,33.435787
0.429128,1,33.666536
0.429128,1,33.891181
0.429128,1,34.119616
0.2,1,34.345469
0.429128,1,34.576251
0.429128,1,34.804636
0.429128,1,35.092592
0.2,1,35.322508
0.429128,1,35.566649
0.4,1,35.795522
0.429128,1,36.033918
0.429128,1,36.270117
0.442741,1,36.514217
0.442741,1,36.745139
0.429128,1,36.997201
0.429128,1,37.229345
0.429128,1,37.504384
0.424,1,37.763917
0.429128,1,37.997179
0.429128,1,38.235239
0.424,1,38.47648
0.429128,1,38.720088
0.429128,1,38.997332
0.429128,1,39.224171
0.429128,1,39.466707
0.429128,1,39.702844
0.424,1,39.929227
0.4,1,40.15206
0.429128,1,40.382825
0.424,1,40.620994
0.442741,1,40.855342
0.429128,1,41.079448
0.429128,1,41.310246
0.429128,1,41.53649
0.2,1,41.768375
0.429128,1,41.996363
0.429128,1,42.224132
0.4,1,42.471041
0.429128,1,42.698994
0.429128,1,42.927079
0.429128,1,43.15574
0.429128,1,43.38884
0.429128,1,43.625176
0.429128,1,43.851732
0.429128,1,44.085722
0.429128,1,44.334502
0.429128,1,44.565017
0.429128,1,44.78821
0.4,1,45.023018
0.429128,1,45.252333
0.429128,1,45.477834
0.4,1,45.707894
0.424,1,45.939512
0.2,1,46.168298
0.429128,1,46.440013
0.429128,1,46.668843
0.429128,1,46.894739
0.429128,1,47.119735
0.429128,1,47.351566
0.429128,1,47.578571
0.2,1,47.805002
0.429128,1,48.035161
0.429128,1,48.28655
0.429128,1,48.509727
0.429128,1,48.740052
0.429128,1,48.966334
0.429128,1,49.19459
0.429128,1,49.427569
0.429128,1,49.663455
0.429128,1,49.896286
0.429128,1,50.157092
0.429128,1,50.39893
0.429128,1,50.637931
0.429128,1,50.872005
0.429128,1,51.110484
0.429128,1,51.347667
0.429128,1,51.581722
0.429128,1,51.80748
0.442741,1,52.058437
0.429128,1,52.297512
0.429128,1,52.535786
0.429128,1,52.764742
0.429128,1,53.001153
0.429128,1,53.231057
0.429128,1,53.465071
0.429128,1,53.700944
0.429128,1,53.957298
0.429128,1,54.186117
0.429128,1,54.431321
0.429128,1,54.665172
0.429128,1,54.898339
0.429128,1,55.120432
0.429128,1,55.3565
0.429128,1,55.596687
0.429128,1,55.870011
0.429128,1,56.112665
0.429128,1,56.344381
0.429128,1,56.57661
0.429128,1,56.803891
0.429128,1,57.029619
0.429128,1,57.261509
0.4,1,57.494497
0.429128,1,57.748158
0.429128,1,57.986134
0.442741,1,58.217566
0.429128,1,58.448398
0.429128,1,58.693113
0.429128,1,58.919984
0.429128,1,59.146004
0.429128,1,59.37061
0.429128,1,59.617786
0.429128,1,59.851926
