#{"t_start": 1756221011.169718, "env_id": "None"}
r,l,t
0.4,1,0.349913
0.429128,1,0.582017
0.424,1,0.824748
0.442741,1,1.041237
0.429128,1,1.263215
0.429128,1,1.490134
0.442741,1,1.756509
0.429128,1,2.002397
0.4,1,2.233344
0.2,1,2.489257
0.4,1,2.749885
0.4,1,2.97942
0.442741,1,3.203734
0.429128,1,3.432866
0.429128,1,3.656508
0.2,1,3.885355
0.429128,1,4.110435
0.4,1,4.359138
0.429128,1,4.600054
0.424,1,4.82884
0.2,1,5.094897
0.429128,1,5.334553
0.442741,1,5.564276
0.2,1,5.794636
0.424,1,6.023553
0.429128,1,6.284423
0.429128,1,6.527411
0.442741,1,6.762013
0.442741,1,7.005248
0.442741,1,7.236894
0.429128,1,7.484635
0.429128,1,7.767212
0.4,1,8.010026
0.429128,1,8.270481
0.2,1,8.504555
0.429128,1,8.740182
0.4,1,8.985551
0.429128,1,9.234053
0.2,1,9.46575
0.2,1,9.715466
0.442741,1,9.954404
0.2,1,10.194457
0.4,1,10.443688
0.2,1,10.705885
0.429128,1,10.950474
0.429128,1,11.182779
0.442741,1,11.419287
0.442741,1,11.653236
0.2,1,11.883044
0.429128,1,12.112346
0.424,1,12.34259
0.424,1,12.599494
0.429128,1,12.847086
0.429128,1,13.07915
0.424,1,13.323927
0.424,1,13.57196
0.429128,1,13.809627
0.424,1,14.04738
0.429128,1,14.280532
0.424,1,14.523827
0.424,1,14.76282
0.442741,1,14.996664
0.429128,1,15.239157
0.4,1,15.485089
0.429128,1,15.733251
0.4,1,16.027533
0.442741,1,16.282188
0.429128,1,16.52939
0.4,1,16.778351
0.429128,1,17.014092
0.429128,1,17.257722
0.429128,1,17.49304
0.429128,1,17.736594
0.4,1,17.967036
0.429128,1,18.200044
0.442741,1,18.430548
0.424,1,18.660722
0.442741,1,18.894507
0.442741,1,19.133832
0.442741,1,19.362613
0.442741,1,19.610883
0.2,1,19.869135
0.442741,1,20.093504
0.442741,1,20.324456
0.429128,1,20.568798
0.4,1,20.799449
0.429128,1,21.019609
0.442741,1,21.244929
0.424,1,21.476706
0.442741,1,21.729363
0.442741,1,21.961375
0.442741,1,22.190721
0.429128,1,22.423579
0.429128,1,22.653863
0.2,1,22.884762
0.2,1,23.122459
0.429128,1,23.35304
0.429128,1,23.600805
0.442741,1,23.831799
0.424,1,24.060782
0.4,1,24.294949
0.442741,1,24.520362
0.442741,1,24.750182
0.442741,1,24.994096
0.424,1,25.223916
0.2,1,25.463963
0.442741,1,25.694057
0.442741,1,25.92643
0.442741,1,26.154909
0.4,1,26.387482
0.442741,1,26.622227
0.442741,1,26.854116
0.442741,1,27.091871
0.424,1,27.338772
0.442741,1,27.595582
0.442741,1,27.827298
0.2,1,28.083839
0.442741,1,28.315784
0.442741,1,28.547854
0.442741,1,28.778536
0.442741,1,29.008963
0.429128,1,29.252646
0.442741,1,29.481529
0.442741,1,29.715912
0.442741,1,29.949382
0.2,1,30.173482
0.442741,1,30.403515
0.442741,1,30.628027
0.442741,1,30.865489
0.442741,1,31.098203
0.424,1,31.355526
0.442741,1,31.584732
0.442741,1,31.816012
0.424,1,32.040155
0.4,1,32.265629
0.2,1,32.489004
0.429128,1,32.713696
0.429128,1,32.936219
0.4,1,33.16054
0.429128,1,33.41258
0.4,1,33.64225
0.429128,1,33.863946
0.429128,1,34.097825
0.429128,1,34.321738
0.429128,1,34.548803
0.429128,1,34.778118
0.442741,1,35.059999
0.4,1,35.294199
0.429128,1,35.538397
0.4,1,35.767038
0.429128,1,36.006071
0.429128,1,36.240776
0.2,1,36.482822
0.429128,1,36.719289
0.429128,1,36.962779
0.429128,1,37.204064
0.429128,1,37.443604
0.4,1,37.731849
0.429128,1,37.966467
0.429128,1,38.205301
0.2,1,38.439324
0.429128,1,38.686743
0.429128,1,38.970243
0.429128,1,39.199115
0.429128,1,39.436826
0.429128,1,39.670355
0.2,1,39.905385
0.424,1,40.13073
0.429128,1,40.355422
0.2,1,40.582362
0.2,1,40.825955
0.429128,1,41.055664
0.429128,1,41.284425
0.429128,1,41.509271
0.429128,1,41.739612
0.429128,1,41.97269
0.429128,1,42.200205
0.4,1,42.426937
0.429128,1,42.675543
0.429128,1,42.900343
0.429128,1,43.13113
0.442741,1,43.363296
0.429128,1,43.592167
0.429128,1,43.825069
0.429128,1,44.059222
0.429128,1,44.286509
0.429128,1,44.536629
