#{"t_start": 1756221011.2993317, "env_id": "None"}
r,l,t
0.429128,1,0.390092
0.442741,1,0.637165
0.2,1,0.854528
0.442741,1,1.072822
0.429128,1,1.305557
0.2,1,1.542999
0.442741,1,1.816293
0.424,1,2.039155
0.4,1,2.296405
0.429128,1,2.564291
0.429128,1,2.789785
0.2,1,3.01729
0.424,1,3.245682
0.4,1,3.472429
0.442741,1,3.693991
0.2,1,3.923483
0.429128,1,4.163043
0.424,1,4.410298
0.429128,1,4.645207
0.442741,1,4.88889
0.442741,1,5.146167
0.424,1,5.37191
0.442741,1,5.607035
0.424,1,5.827957
0.4,1,6.085094
0.429128,1,6.338082
0.429128,1,6.575127
0.4,1,6.807023
0.442741,1,7.053741
0.429128,1,7.294811
0.442741,1,7.573699
0.429128,1,7.811372
0.4,1,8.076092
0.429128,1,8.315107
0.442741,1,8.550005
0.429128,1,8.791412
0.424,1,9.045541
0.429128,1,9.279677
0.429128,1,9.526
0.424,1,9.761563
0.424,1,10.003759
0.429128,1,10.253336
0.442741,1,10.517457
0.429128,1,10.754717
0.424,1,10.995174
0.4,1,11.225885
0.429128,1,11.467046
0.429128,1,11.696544
0.442741,1,11.926213
0.429128,1,12.155648
0.424,1,12.394671
0.429128,1,12.654582
0.4,1,12.890564
0.2,1,13.134811
0.424,1,13.379441
0.424,1,13.615779
0.442741,1,13.85019
0.424,1,14.092882
0.2,1,14.337157
0.424,1,14.57258
0.442741,1,14.807928
0.424,1,15.043874
0.429128,1,15.290837
0.2,1,15.540315
0.429128,1,15.794796
0.424,1,16.093317
0.429128,1,16.335296
0.2,1,16.581122
0.442741,1,16.826216
0.429128,1,17.066346
0.429128,1,17.308091
0.429128,1,17.535375
0.429128,1,17.782068
0.429128,1,18.011728
0.429128,1,18.241143
0.429128,1,18.467422
0.4,1,18.70707
0.442741,1,18.947792
0.442741,1,19.178439
0.429128,1,19.400023
0.2,1,19.682326
0.429128,1,19.905051
0.442741,1,20.135956
0.442741,1,20.381425
0.4,1,20.612909
0.429128,1,20.835554
0.4,1,21.06121
0.442741,1,21.290955
0.429128,1,21.539382
0.442741,1,21.773124
0.442741,1,22.00303
0.442741,1,22.232033
0.429128,1,22.47154
0.424,1,22.698565
0.429128,1,22.936977
0.4,1,23.164462
0.2,1,23.413333
0.429128,1,23.643353
0.442741,1,23.873727
0.442741,1,24.104159
0.429128,1,24.334777
0.442741,1,24.565941
0.442741,1,24.807474
0.442741,1,25.037297
0.2,1,25.277305
0.4,1,25.503805
0.442741,1,25.733225
0.442741,1,25.963545
0.442741,1,26.196924
0.429128,1,26.433188
0.442741,1,26.666961
0.442741,1,26.899222
0.442741,1,27.148108
0.442741,1,27.405517
0.442741,1,27.643263
0.442741,1,27.886668
0.2,1,28.126661
0.442741,1,28.359073
0.442741,1,28.591234
0.442741,1,28.816587
0.442741,1,29.052275
0.429128,1,29.296649
0.442741,1,29.523391
0.442741,1,29.761632
0.442741,1,29.988797
0.2,1,30.21947
0.442741,1,30.444953
0.442741,1,30.67434
0.442741,1,30.910357
0.442741,1,31.169878
0.4,1,31.400227
0.442741,1,31.623175
0.442741,1,31.854769
0.2,1,32.080916
0.442741,1,32.304265
0.2,1,32.526407
0.429128,1,32.751835
0.429128,1,32.977006
0.424,1,33.215379
0.429128,1,33.449167
0.429128,1,33.677773
0.429128,1,33.903836
0.429128,1,34.131958
0.4,1,34.359028
0.429128,1,34.592618
0.429128,1,34.825906
0.424,1,35.103819
0.424,1,35.337433
0.429128,1,35.583598
0.442741,1,35.813573
0.429128,1,36.049765
0.429128,1,36.290523
0.424,1,36.525622
0.2,1,36.771518
0.429128,1,37.016207
0.429128,1,37.245671
0.429128,1,37.537283
0.424,1,37.77696
0.429128,1,38.020157
0.429128,1,38.250381
0.2,1,38.494161
0.429128,1,38.786036
0.429128,1,39.014
0.4,1,39.24739
0.429128,1,39.485026
0.429128,1,39.715975
0.424,1,39.942871
0.442741,1,40.165575
0.429128,1,40.395434
0.429128,1,40.637083
0.429128,1,40.870241
0.429128,1,41.096678
0.429128,1,41.326623
0.429128,1,41.553092
0.442741,1,41.786368
0.429128,1,42.011165
0.429128,1,42.239038
0.442741,1,42.487583
0.429128,1,42.711447
0.429128,1,42.940301
0.429128,1,43.178576
0.4,1,43.406148
0.429128,1,43.640447
0.429128,1,43.870023
0.429128,1,44.098059
0.429128,1,44.347743
0.429128,1,44.576278
0.429128,1,44.800452
0.429128,1,45.040239
0.429128,1,45.268064
0.429128,1,45.498271
0.429128,1,45.723261
0.2,1,45.956833
0.2,1,46.183615
0.429128,1,46.453364
0.429128,1,46.680974
0.429128,1,46.906158
0.429128,1,47.138088
0.429128,1,47.367371
0.429128,1,47.595787
0.4,1,47.82194
0.429128,1,48.055878
0.429128,1,48.297781
0.429128,1,48.523543
0.429128,1,48.754522
0.429128,1,48.978898
0.429128,1,49.207064
0.429128,1,49.44574
0.429128,1,49.681702
0.429128,1,49.912006
0.429128,1,50.176459
0.429128,1,50.415101
0.429128,1,50.656514
0.429128,1,50.891697
0.429128,1,51.126188
0.429128,1,51.360485
0.429128,1,51.595975
0.429128,1,51.841073
0.429128,1,52.07659
0.429128,1,52.31692
0.429128,1,52.55397
0.429128,1,52.783622
0.429128,1,53.016211
0.429128,1,53.242952
0.429128,1,53.479684
0.429128,1,53.739198
0.429128,1,53.972902
0.429128,1,54.201745
0.429128,1,54.449514
0.429128,1,54.678542
0.429128,1,54.909303
0.429128,1,55.13727
0.429128,1,55.376579
0.429128,1,55.650925
0.429128,1,55.889092
0.429128,1,56.129431
0.429128,1,56.361644
0.429128,1,56.591674
0.429128,1,56.820994
0.429128,1,57.04463
0.429128,1,57.273243
0.429128,1,57.5076
0.429128,1,57.767026
0.429128,1,58.002414
0.442741,1,58.233646
0.429128,1,58.463243
0.429128,1,58.708234
0.442741,1,58.931731
0.429128,1,59.156968
0.429128,1,59.384086
0.429128,1,59.633999
0.429128,1,59.871511
