#{"t_start": 1756220832.7488503, "env_id": "None"}
r,l,t
0.442741,1,6.332695
0.2,1,6.550948
0.4,1,6.761371
0.442471,1,6.976628
0.4,1,7.190777
0.428277,1,7.427866
0.428277,1,7.658595
0.429128,1,7.867203
0.428277,1,8.086775
0.442741,1,8.31293
0.442741,1,8.535589
0.2,1,8.758347
0.442471,1,8.996925
0.429128,1,9.26197
0.4,1,9.486014
0.442471,1,9.732497
0.4252,1,9.966843
0.428277,1,10.202973
0.4,1,10.42828
0.4252,1,10.697532
0.429128,1,10.931295
0.442741,1,11.160757
0.442471,1,11.390666
0.429128,1,11.617561
0.442471,1,11.841166
0.4252,1,12.063875
0.442741,1,12.295533
0.429128,1,12.539393
0.428277,1,12.777982
0.442741,1,12.99846
0.428277,1,13.219658
0.4,1,13.440552
0.442741,1,13.674361
0.428277,1,13.896549
0.429128,1,14.11769
0.429128,1,14.348073
0.4,1,14.588687
0.4252,1,14.813246
0.2,1,15.039941
0.4,1,15.262869
0.4252,1,15.495338
0.428277,1,15.725296
0.429128,1,15.945036
0.442741,1,16.174447
0.4,1,16.412056
0.442471,1,16.644504
0.4,1,16.865261
0.4,1,17.084505
0.428277,1,17.309352
0.4252,1,17.542444
0.429128,1,17.783882
0.4,1,18.029273
0.429128,1,18.288116
0.2,1,18.538817
0.424,1,18.783016
0.442471,1,19.035057
0.429128,1,19.270236
0.4,1,19.516439
0.424,1,19.749571
0.424,1,19.98172
0.429128,1,20.23034
0.424,1,20.482238
0.424,1,20.732196
0.424,1,20.965707
0.442741,1,21.200776
0.2,1,21.43671
0.429128,1,21.67671
0.429128,1,21.896648
0.4,1,22.132985
0.4,1,22.388324
0.4252,1,22.62063
0.4,1,22.854433
0.424,1,23.087851
0.428277,1,23.328958
0.442741,1,23.56306
0.429128,1,23.796581
0.442741,1,24.038057
0.2,1,24.298484
0.428277,1,24.528904
0.442471,1,24.776274
0.428277,1,25.020228
0.2,1,25.259717
0.428277,1,25.502795
0.424,1,25.728053
0.429128,1,25.954576
0.442471,1,26.232131
0.4,1,26.460092
0.428277,1,26.699502
0.442741,1,26.947336
0.442741,1,27.171872
0.428277,1,27.405945
0.4,1,27.631078
0.2,1,27.860904
0.4252,1,28.108019
0.428277,1,28.341413
0.428277,1,28.575341
0.442741,1,28.803226
0.4,1,29.034514
0.428277,1,29.265436
0.428277,1,29.499169
0.424,1,29.726967
0.429128,1,29.986629
0.2,1,30.209671
0.429128,1,30.432549
0.442471,1,30.663207
0.424,1,30.906266
0.4252,1,31.143745
0.429128,1,31.379226
0.424,1,31.60885
0.429128,1,31.852623
0.4,1,32.089708
0.429128,1,32.311652
0.429128,1,32.546168
0.428277,1,32.777608
0.2,1,33.002957
0.2,1,33.225379
0.428277,1,33.457624
0.428277,1,33.703378
0.442741,1,33.938765
0.428277,1,34.16618
0.428277,1,34.393924
0.442741,1,34.61624
0.428277,1,34.84128
0.2,1,35.070004
0.4,1,35.294651
0.429128,1,35.548126
0.428277,1,35.796629
0.4,1,36.01706
0.429128,1,36.266579
0.4252,1,36.492896
0.429128,1,36.730799
0.429128,1,36.981179
0.429128,1,37.233304
0.428277,1,37.51218
0.429128,1,37.767622
0.428277,1,37.996826
0.428277,1,38.23013
0.442471,1,38.456279
0.429128,1,38.688706
0.4,1,38.91926
0.4,1,39.154392
0.428277,1,39.401316
0.4,1,39.641124
0.442471,1,39.869819
0.424,1,40.103927
0.429128,1,40.322153
0.442471,1,40.550311
0.428277,1,40.777653
0.428277,1,41.012118
0.429128,1,41.250472
0.4,1,41.474431
0.428277,1,41.699034
0.428277,1,41.931681
0.429128,1,42.155132
0.428277,1,42.390242
0.429128,1,42.616656
0.2,1,42.84756
0.428277,1,43.091958
0.428277,1,43.316081
0.429128,1,43.540515
0.429128,1,43.775531
0.428277,1,44.005325
0.429128,1,44.246238
0.4252,1,44.466788
0.429128,1,44.695244
0.428277,1,44.920421
0.428277,1,45.16303
0.428277,1,45.404419
0.428277,1,45.633527
0.429128,1,45.859468
0.429128,1,46.109391
0.4252,1,46.341245
0.4,1,46.59009
0.428277,1,46.858917
0.429128,1,47.095331
0.429128,1,47.338361
0.429128,1,47.611595
0.428277,1,47.862282
0.429128,1,48.109936
0.429128,1,48.341401
0.4,1,48.586555
0.429128,1,48.887462
0.429128,1,49.116067
0.4,1,49.347719
0.4,1,49.591429
0.4,1,49.832143
0.429128,1,50.060905
0.429128,1,50.313159
0.4,1,50.575534
0.4,1,50.801768
0.4,1,51.021833
0.429128,1,51.247977
0.429128,1,51.470175
0.4,1,51.706377
0.4,1,51.926554
0.429128,1,52.154363
0.429128,1,52.388246
0.4,1,52.635209
0.429128,1,52.857821
0.429128,1,53.091568
0.4,1,53.327393
0.429128,1,53.553671
0.4,1,53.785812
0.429128,1,54.005747
0.429128,1,54.238312
0.4,1,54.498793
0.4,1,54.725937
0.429128,1,54.966819
0.4,1,55.196054
0.4,1,55.426482
0.4,1,55.651397
0.4,1,55.882044
0.429128,1,56.11672
0.4,1,56.368061
0.429128,1,56.597137
0.4,1,56.828802
0.4,1,57.053461
0.4,1,57.283521
0.429128,1,57.513494
0.4,1,57.760605
0.429128,1,57.99635
0.4,1,58.248722
0.429128,1,58.48499
0.429128,1,58.737489
0.4,1,58.998938
0.2,1,59.252315
0.429128,1,59.484336
0.4,1,59.736094
0.429128,1,59.97151
0.4,1,60.228351
0.2,1,60.453665
0.429128,1,60.695115
0.429128,1,60.922834
0.429128,1,61.166142
0.429128,1,61.386493
0.4,1,61.609167
0.429128,1,61.830529
0.429128,1,62.050758
0.429128,1,62.277012
0.4,1,62.510979
0.429128,1,62.744862
0.4,1,63.011848
0.429128,1,63.266632
0.4,1,63.498554
0.429128,1,63.744051
0.429128,1,63.981198
0.4,1,64.227662
0.429128,1,64.465518
0.4,1,64.71281
0.429128,1,64.969748
0.429128,1,65.200868
0.442471,1,65.434174
