#{"t_start": 1756220832.7905633, "env_id": "None"}
r,l,t
0.429128,1,6.352368
0.4,1,6.56199
0.428277,1,6.7795
0.442741,1,6.985894
0.2,1,7.203136
0.4252,1,7.443115
0.428277,1,7.672114
0.428277,1,7.879068
0.2,1,8.101811
0.424,1,8.3282
0.442741,1,8.552691
0.428277,1,8.777591
0.442471,1,9.021205
0.428277,1,9.27436
0.442741,1,9.503821
0.429128,1,9.752604
0.2,1,9.983804
0.442471,1,10.219203
0.442471,1,10.442931
0.428277,1,10.709698
0.4,1,10.947373
0.4,1,11.179702
0.428277,1,11.404766
0.2,1,11.633082
0.429128,1,11.856574
0.442471,1,12.082928
0.442741,1,12.318599
0.429128,1,12.554795
0.428277,1,12.78892
0.4252,1,13.010896
0.429128,1,13.231623
0.424,1,13.452688
0.429128,1,13.686802
0.4,1,13.90584
0.428277,1,14.131181
0.442471,1,14.376716
0.428277,1,14.606357
0.4252,1,14.828605
0.4,1,15.055543
0.2,1,15.277141
0.428277,1,15.514396
0.428277,1,15.736077
0.428277,1,15.957525
0.424,1,16.188372
0.4,1,16.428621
0.442741,1,16.656616
0.2,1,16.875395
0.428277,1,17.095999
0.4,1,17.319858
0.442741,1,17.568778
0.2,1,17.798416
0.429128,1,18.04544
0.429128,1,18.306756
0.429128,1,18.556585
0.442471,1,18.813215
0.4252,1,19.04585
0.442741,1,19.283529
0.429128,1,19.536801
0.424,1,19.766671
0.428277,1,19.995948
0.442741,1,20.248745
0.442741,1,20.499543
0.424,1,20.749579
0.429128,1,20.98619
0.428277,1,21.22084
0.2,1,21.453267
0.4252,1,21.689106
0.4,1,21.910001
0.442741,1,22.154024
0.4252,1,22.404439
0.428277,1,22.63858
0.4252,1,22.868846
0.424,1,23.106324
0.428277,1,23.339833
0.442741,1,23.577477
0.4252,1,23.81309
0.428277,1,24.055612
0.428277,1,24.316072
0.442741,1,24.548921
0.4,1,24.793891
0.442741,1,25.039019
0.4,1,25.2803
0.442741,1,25.5195
0.429128,1,25.744241
0.4252,1,25.969792
0.4,1,26.247413
0.4252,1,26.482593
0.442741,1,26.718474
0.428277,1,26.967568
0.442741,1,27.189227
0.428277,1,27.419005
0.428277,1,27.642895
0.428277,1,27.889757
0.424,1,28.119985
0.2,1,28.358046
0.2,1,28.590976
0.2,1,28.819188
0.429128,1,29.052248
0.429128,1,29.278483
0.428277,1,29.509087
0.4252,1,29.75019
0.429128,1,30.003498
0.429128,1,30.223289
0.428277,1,30.44765
0.428277,1,30.678151
0.424,1,30.932006
0.428277,1,31.161925
0.428277,1,31.3975
0.2,1,31.618674
0.429128,1,31.862254
0.429128,1,32.103591
0.428277,1,32.332715
0.428277,1,32.564342
0.2,1,32.794175
0.4,1,33.016063
0.424,1,33.242544
0.428277,1,33.470707
0.428277,1,33.716617
0.428277,1,33.950113
0.429128,1,34.178811
0.2,1,34.404406
0.429128,1,34.629007
0.429128,1,34.853482
0.2,1,35.088064
0.4,1,35.311744
0.428277,1,35.572401
0.429128,1,35.811395
0.442471,1,36.034385
0.442741,1,36.280167
0.4252,1,36.511879
0.429128,1,36.754977
0.428277,1,37.000332
0.429128,1,37.259229
0.428277,1,37.539319
0.428277,1,37.78154
0.428277,1,38.01172
0.428277,1,38.243999
0.424,1,38.470438
0.429128,1,38.70288
0.4252,1,38.939552
0.4,1,39.170451
0.429128,1,39.420113
0.424,1,39.657714
0.442471,1,39.889713
0.2,1,40.116376
0.429128,1,40.33393
0.4,1,40.563663
0.428277,1,40.793716
0.428277,1,41.025808
0.429128,1,41.266886
0.429128,1,41.490355
0.429128,1,41.717159
0.429128,1,41.946331
0.429128,1,42.175938
0.428277,1,42.403048
0.429128,1,42.631299
0.4,1,42.858137
0.428277,1,43.103458
0.429128,1,43.326666
0.428277,1,43.560454
0.428277,1,43.795341
0.428277,1,44.020383
0.429128,1,44.261031
0.4,1,44.482507
0.429128,1,44.711567
0.4252,1,44.952619
0.429128,1,45.185836
0.428277,1,45.420597
0.428277,1,45.652794
0.429128,1,45.880745
0.428277,1,46.128828
0.2,1,46.359084
0.429128,1,46.611467
0.429128,1,46.879397
0.429128,1,47.113788
0.428277,1,47.358027
0.429128,1,47.63624
0.2,1,47.881227
0.4,1,48.1223
0.4,1,48.355409
0.4,1,48.610011
0.4,1,48.901827
0.4,1,49.127862
0.4,1,49.365276
0.4,1,49.6085
0.4,1,49.846866
0.4,1,50.082095
0.4,1,50.326892
0.429128,1,50.596127
0.4,1,50.817428
0.4,1,51.040082
0.4,1,51.262906
0.4,1,51.489094
0.429128,1,51.723412
0.4,1,51.944038
0.429128,1,52.175758
0.4,1,52.411013
0.4,1,52.646203
0.4,1,52.868894
0.429128,1,53.105989
0.4,1,53.343156
0.429128,1,53.573534
0.4,1,53.799755
0.4,1,54.023176
0.429128,1,54.254835
0.429128,1,54.510883
0.4,1,54.744089
0.4,1,54.980301
0.429128,1,55.2127
0.442471,1,55.442545
0.4,1,55.670606
0.4,1,55.901329
0.429128,1,56.131873
0.429128,1,56.382328
0.4,1,56.614405
0.4,1,56.841808
0.4,1,57.064936
0.4,1,57.29707
0.4,1,57.533186
