#{"t_start": 1756220832.5956235, "env_id": "None"}
r,l,t
0.4,1,6.42478
0.429128,1,6.652465
0.4252,1,6.861619
0.442741,1,7.079519
0.429128,1,7.289649
0.428277,1,7.524327
0.442741,1,7.757601
0.429128,1,7.970292
0.4,1,8.186801
0.2,1,8.409635
0.4,1,8.634399
0.4,1,8.859633
0.442741,1,9.091301
0.428277,1,9.357781
0.428277,1,9.579043
0.2,1,9.818271
0.429128,1,10.065482
0.4,1,10.299154
0.429128,1,10.525685
0.4252,1,10.77506
0.2,1,11.025565
0.429128,1,11.255532
0.442471,1,11.489558
0.2,1,11.709664
0.424,1,11.940664
0.442471,1,12.163549
0.442471,1,12.391608
0.429128,1,12.63231
0.429128,1,12.866869
0.428277,1,13.094982
0.428277,1,13.316799
0.4,1,13.535991
0.428277,1,13.770736
0.2,1,13.992695
0.429128,1,14.214008
0.4,1,14.441969
0.429128,1,14.687848
0.2,1,14.914399
0.2,1,15.136493
0.442741,1,15.36388
0.2,1,15.590542
0.4,1,15.822011
0.2,1,16.042515
0.429128,1,16.264857
0.428277,1,16.496871
0.442741,1,16.741451
0.442741,1,16.960756
0.2,1,17.183902
0.428277,1,17.40482
0.4252,1,17.638235
0.428277,1,17.88069
0.428277,1,18.111312
0.429128,1,18.365759
0.429128,1,18.630031
0.428277,1,18.875347
0.4252,1,19.124709
0.442471,1,19.364131
0.4,1,19.603308
0.428277,1,19.84803
0.428277,1,20.081583
0.4,1,20.323003
0.442741,1,20.57716
0.428277,1,20.822718
0.428277,1,21.059097
0.4,1,21.29741
0.442741,1,21.535356
0.428277,1,21.768513
0.4,1,21.992299
0.428277,1,22.222557
0.442741,1,22.471063
0.424,1,22.719082
0.442741,1,22.95345
0.442471,1,23.182776
0.2,1,23.416757
0.442741,1,23.654466
0.429128,1,23.888552
0.442741,1,24.133504
0.4,1,24.395548
0.442741,1,24.626326
0.428277,1,24.862578
0.4252,1,25.112966
0.428277,1,25.35171
0.429128,1,25.599223
0.2,1,25.827589
0.2,1,26.055976
0.429128,1,26.324674
0.428277,1,26.559135
0.428277,1,26.800561
0.442741,1,27.036853
0.428277,1,27.273021
0.442741,1,27.501803
0.424,1,27.727601
0.428277,1,27.958184
0.4,1,28.205916
0.2,1,28.434926
0.428277,1,28.672725
0.442741,1,28.90303
0.4252,1,29.135384
0.429128,1,29.363162
0.428277,1,29.591959
0.2,1,29.821013
0.2,1,30.081136
0.2,1,30.309971
0.4,1,30.529637
0.4252,1,30.756547
0.2,1,31.000539
0.428277,1,31.241457
0.429128,1,31.476461
0.2,1,31.705669
0.429128,1,31.942641
0.424,1,32.191415
0.429128,1,32.410043
0.428277,1,32.642665
0.4252,1,32.876315
0.4,1,33.09929
0.2,1,33.325336
0.428277,1,33.558716
0.4,1,33.796901
0.4,1,34.035939
0.429128,1,34.261864
0.429128,1,34.492781
0.442741,1,34.711781
0.428277,1,34.933334
0.4,1,35.165205
0.4,1,35.396315
0.429128,1,35.62766
0.428277,1,35.891235
0.2,1,36.113637
0.429128,1,36.35979
0.4,1,36.588187
0.429128,1,36.825124
0.429128,1,37.076923
0.428277,1,37.319406
0.429128,1,37.607709
0.429128,1,37.857137
0.429128,1,38.091602
0.429128,1,38.324452
0.2,1,38.5504
0.428277,1,38.780453
0.2,1,39.011311
0.424,1,39.254389
0.429128,1,39.495719
0.2,1,39.73365
0.2,1,39.9633
0.429128,1,40.197235
0.428277,1,40.420259
0.4,1,40.644295
0.429128,1,40.874974
0.429128,1,41.11172
0.429128,1,41.332791
0.442471,1,41.573832
0.429128,1,41.794162
0.428277,1,42.027216
0.428277,1,42.253069
0.428277,1,42.486321
0.428277,1,42.71353
0.429128,1,42.944361
0.429128,1,43.185755
0.429128,1,43.40979
0.429128,1,43.636906
0.428277,1,43.87322
0.428277,1,44.104399
0.428277,1,44.334226
0.2,1,44.566592
0.429128,1,44.792632
0.428277,1,45.017116
0.429128,1,45.257594
0.429128,1,45.499149
0.428277,1,45.732586
0.429128,1,45.96009
0.429128,1,46.205889
0.429128,1,46.437
0.428277,1,46.676853
